Mã CK ,Sàn ,Ngành ,Cơ Cấu Thu Nhập,Đầu Vào,Sản Xuất,Đầu Ra,Khác
BDT,UPCOM,Vật liệu xây dựng,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm (2022)
 Cát khai thác 
• Doanh thu: 63,3%.
 * Lợi nhuận gộp: 71,7%.
 Hàng hóa thành phẩm 
• Doanh thu: 17,6%. 
• Lợi nhuận gộp: 16%. 
Công trình xây dựng cơ bản 
• Doanh thu: 13,3%. 
• Lợi nhuận gộp: 1,6 
Cung cấp dịch vụ 
• Doanh thu: 5,8%. 
• Lợi nhuận gộp: 10,7%.
","Nguồn nguyên vật liệu chính
 Cát các loại (85.476 nghìn m3), Đá các loại (76.264 nghìn m3), Sắt, thép các loại (264 tấn), Xi măng (11579 nghìn tấn)
",no data,"Lĩnh vực kinh doanh chính Chủ yếu là khai thác cát, san lấp mặt bằng, mua bán vật liệu xây dựng, bê tông tươi,.... Là doanh nghiệp đứng đầu trong lĩnh vực khai thác cát xây dựng tại ĐB.Sông Cửu Long với các sản phẩm như cát đá các loại, bê tông tươi, bê tông như nóng, cống bê tông ly tâm..","Dự án 
Dự án KCN Tân Kiều 
Quy mô diện tích 148.71 ha. Trong đó, đất xây dựng nha máy và công trình phụ trợ 104.48 ha và đất giao thông là 16.942 ha
 • Vốn dự kiến 1 nghìn tỷ. 
• Dự án với trọng tâm là khu công nghiệp chế biến lương thực, thực phẩm, nước giải khát, mặt hàng công nghiệp,... 
• Hiện dự án đang triển khai thi công hạng mục san lấp mặt bằng (đạt 85% khối lượng)
 Dự án Cụm CN Tân Lập 
* Dự án nằm trên huyện Châu Thành, tỉnh Đồng Tháp
 • Quy mô hơn 49 ha 
Nguồn vốn dự kiến 315 tỷ. 
Hiện dự án đã hoàn thành 100% khối lượng công việc.
"
CMX,HOSE,Sản phẩm thực phẩm,"Cơ cấu doanh thu theo thị trường xuất khẩu (2022)
 EU (57,51%), Canada (9,66%), Hàn Quốc (23,79%), Nhật Bản (3,48%), Trung Đông (0,25%), Úc (0,75%), Mỹ (2,55%), Khác (2,01%)

","Nguyên liệu đầu vào 
Tổng lượng tôm nguyên liệu sản xuất trong năm 2021 là 5.915 nghìn tấn 
Diện tích vùng nuôi
 (1) Khu nuôi sinh thái: 790,5 ha, sản lượng 227 tấn/năm, 
(2) Liên kết nông hộ: 6.034 nghìn ha, sản lượng 1.859 nghìn tấn/năm.
","Nhà máy sản xuất
 Công suất chế biến 11.6 nghìn tấn/năm. Năm 2020 mở rộng lên 18.8 nghìn tấn/năm
 Sản lượng sản xuất (2022) 
13nghìn tấn
","Sản phẩm chính 
Một số sản phẩm tôm chủ lực CMX như: tôm sinh thái, tôm tươi, tôm hấp,.. 
Khách hàng 
Kim ngạch xuất khẩu 2021 đạt 69.9 triệu USD, xuất khẩu đến hơn 25 quốc gia trên thế giới. Trong đó, thị trường lớn nhất của công ty là các quốc gia thuộc EU (Thụy Sĩ, Đức, Hà Lan,...) 
Lợi thế cạnh tranh 
Chế biến tôm sinh thái hàng đầu Việt Nam, đạt chứng nhận sinh thái Naturland, EU Organic, BIO SUISE cao cấp cho sản phẩm tôm sinh thái (từ con giống cho tới bàn ăn)
","Dự án 
Mở rộng sản xuất vùng nuôi thủy sản công nghệ cao có diện tích mặt đất-mặt nước lên đến 16.7 hạ
 • Đạt công suất 3 nghìn tấn sản phẩm/năm với tổng mức vốn đầu tư 200 tỷ.
 • Dự án đang trong giai đoạn xây dựng và dự kiến đến IV/2023 đi vào vận hành 
Kế hoạch 2023
 Kim ngạch xuất khẩu: 100 triệu usd 
Sản lượng sản xuất: 10.000 tấn thành phẩm
"
CNG,HOSE,Tiện ích khí đốt,"Cơ cấu doanh thu (2022) 
Bán thành phẩm 97,1%, Bán Hàng hóa 2,8%, Khác 0,01% 
Cơ cấu doanh thu theo khu vực (2022)
 Miền Nam 76,1%, Miền Bắc 23,9%
","Khí thiên nhiên 
Do GAS cung cấp 
LNG
 Được nhập khẩu 
Cơ cấu giá vốn (2022)
 Khí 78,2%, Mua ngoài 11,4%, Nhân viên 2,6%, Khấu hao 2,5%, Khác 5,1%
","Công suất sản xuất CNG
 330 triệu SM3/năm. Trong đó, Khu vực miền Bắc (110 triệu Sm3/năm), miền Nam (220 triệu Sm3/năm) 
LNG 
Hệ thống xe bồn: có sức chứa đa dạng 15, 20, 25, 30 nghìn Sm3
 Số lao động 2022)
 278 (+2.5% yoy)
","Sản lượng tiêu thụ (2022) 
CNG (314.8 triệu Sm3), LPG (1.73 nghìn tấn) 
Mång CNG Nhà cung cấp CNG có thị phần lớn nhất (70%).Trong đó, thị trường tiêu thụ chính ở miền Nam.
 Khách hàng tiêu thụ: Khách hàng sản xuất vật liệu xây dựng (50% sản lượng), Khách hàng sản xuất đồ uống-thực phẩm (30% sản lượng) 
Giá bán khí CNG 
Miền Bắc: không có cơ chế giá cố định do chi phí khai thác, chi phí vận chuyển tại khu vực này cao 
Miền Nam: mua khí từ GAS theo giá dầu FO, giá bán thay đổi theo từng quý 
Ngoài ra, còn có giá bán riêng từng loại khách hàng
","Kế hoạch kinh doanh 2023 và giai đoạn tới 
Kế hoạch Năm 2023 tộng sản lượng 280 triệu Sm3. Giai đoạn 2023-2025: Tăng trưởng khu vực thị trường hiện tại và cung cấp sản phẩm LNG ra thị trường
 • Tăng trưởng sản lượng bình quân 11-13%/năm 
• Xâm nhập thị trường miền Trung: dự kiến cung cấp khoảng 150 triệu Sm3. Có thể bán LNG nhập khẩu hoặc nguồn khí nội địa từ mỏ Cá Voi Canh, Kèn Bầu
"
DCL,HOSE,Dược phẩm,"Bán hàng hóa(10,7%); Bán thành phẩm (89,3%)",Nguồn nguyên vật liệu : Tổng Nguyên Vật liệu dùng để sản xuất và đóng gói sản phẩm và dịch vụ chính là 617.62 triệu kg,"Sản lượng sản xuất (2022) 8,911 triệu sản phẩm (+22,9% yoy). ) 
Dược phẩm 822 triệu sp, Capsule 7.998 triệu sp, Dụng cụ y tế 91 triệu sp
 Nhà máy sản xuất DCL hiện có 2 nhà máy dược phẩm đạt chuẩn GMP – WHO: 
•        1 nhà máy sản xuất dụng cụ y tế
 • 1 nhà máy sản xuất viên nang cứng rỗng Vicancap và nông trường dược liệu 40 ha tại Bình Phước 
Năm 2021, Mở rộng nhà máy Capsule giai đoạn 4 và đưa vào hoạt động Q2/2021 giúp nâng công suất lên 8.56 tỷ nang/năm
 Dây chuyền sản xuất 
Công nghệ tiên tiến được nhập từ Canada và Hàn Quốc. Là đơn vị duy nhất tại Việt Nam sản xuất và cung ứng sản phẩm capsule (viên nang cứng rỗng) các loại.
","Sản phẩm chính 
Dược phẩm với hơn 250 loại đã được phê duyệt.
 Dụng cụ y tế hơn 20 loại khác nhau
 Viên nang cứng rỗng với nhiều chủng loại, kích cỡ 
Thị trường tiêu thụ
 Trải dài trên khắp các tỉnh, chủ yếu cung ứng cho bệnh viện, trung tâm y tế với hệ thống phân phối gồm 10 chi nhánh và hơn 74 nhà phân phối, đại lý cả nước. Trong đó, Hà Nội và TP.HCM là 2 khu vực kinh doanh chính
","Kế hoạch kinh doanh 2023 và giai đoạn tới 
Kế hoạch kinh doanh 2023 doanh thu lợi nhuận tăng trưởng 13% yoy. 
Không trả cổ tức trong năm 2023.
 DCL đang lên kế hoạch xây dựng thêm 1 nhà máy với vốn đầu tư hơn 1.000 tỷ đồng, dự kiến khởi công trong Quý 3 2023.
 Dự án dự kiến đưa vào hoạt động trong năm nay Nhà máy sản xuất TBYT Benovas:
 • Khởi công xây dựng trong Q1/2021 và dự kiến hoàn thành Q3/2023.
 • Nhà máy có công suất thiết kế 300 triệu sp/năm
 Bổ xung máy móc thiết bị cho Phòng sản xuất thuốc sủi NM sản xuất dược phẩm
•        Tăng công suất từ 17 triệu viên/năm lên thành 67 triệu viên/năm vào quý 3 2023
"
DCM,HOSE,Hóa chất,"Doanh thu theo sản phẩm (2022)
 Urea (75%), NPK (7,6%), Phân bón thương mại (12%), Khác (4,4%)
 Doanh thu theo thị trường (2022) 
Nội địa (57,2%), Xuất khẩu (42,7%)
","Sản xuất 
 Khí thiên nhiên (50%cpsx): khoảng 500tr m3/năVN (9m do P0%), Petronas (10%) do bể Malay-Tho Chu 
Thương mại DAP, Kali: Nhập khẩu hoặc mua ngoài, dùng để sản xuất NPK 
Giá khí 
Petronas-Malaysia: P= 12,7%Pbrent + TCL
 PVN: P=46%MFO + TCI
 Chú thích, 
• P: Giá khí quy đổi theo giá dầu, chưa bao gồm phí vận chuyển (USD/MMBTU); 
• MFO: Giá dầu FO trung bình tháng (MFOC) tại thị trưởng Singapore theo tạp chí Platt's, quy đổi theo hệ số mỗi tấn dầu FO tương ứng với nhiệt trị toàn phần (GHV) là 40,6 MMBTU; is 
• PBrent: Giá dầu thô Brent thị trường thế giới (USD/thùng) 
• TCL: Phí vận chuyển và phân phối khí (USD/MMBTU)
","Năng lực sản xuất
 NM Đạm Cà Mau: 800 nghìn tấn/năm, sử dụng công nghệ tổng hợp Italia và công nghệ tạo hạt Nhật Bản 
NM NPK công nghệ urea nóng chảy: 300 nghìn tấn/năm
 NM NH3: 450 nghìn tấn/năm, sử dụng công nghệ Đan Mạch
 Sản lượng sản xuất (2022)
 Urea (918,08 nghìn tấn), NPK (115,03 nghìn tấn)
","Sản phẩm chính 
Urea hạt đục, NPK (đang sản xuất)
 Thị trường tiêu thụ 
Urea: chiếm 28% thị phần trong nước. Đối với thị trường Campuchia DCM chiếm thị phần từ 35% - 40% NPK CLC: Chỉ mới cung cấp cho khu vực ĐB. Sông Cửu Long
 • Mục tiêu, gia tăng sản lượng tại các thị trường ĐBSCL, khu vực ĐNB và Tây Nguyên 
• Đẩy mạnh xuất khẩu sang thị trường Campuchia với mục tiêu chiếm 15%-20% thị phần
 • Ngoài ra, xuất khẩu sang một số thị trường khác như Thái Lan, Myanmar, Philippines, Bangladesh, Nepal,.. 
Sản lượng tiêu thụ (2022)
 Ure (844,08 nghìn tấn), NPK (83,67 nghìn tấn), Phân bón tự doanh (123,48 nghìn tấn)
","Mục tiêu trung và dài hạn
 Tăng trưởng sản lượng kinh doanh 6-10%/năm
 Duy trì thị phần phân bón trong nước tối thiểu 10%/năm với hệ “hống phân phối cấp 1 gấp 2 lần so với hiện tại và phân phối cấp 2 đạt 5%/năm với ít nhất 15 nghìn đại lý 
Duy trì thị phần phân Urea nội địa từ 30%-35%/năm
 Duy trì thị phần phân NPK đáp ứng từ 5%-10% trong nước và tập trung chiếm lĩnh thị phần trong nước 20% 
Về các dòng sản phẩm khác đáp ứng từ 5%-10% tùy theo phân khúc sản phẩm cụ thể 
Kế hoạch 2023:
 Sản lượng sản xuất: Urea (882 nghìn tấn), NPK (160 nghìn tấn) 
Sản lượng kinh doanh: Urea (760 nghìn tấn), NPK (160 nghìn tấn), Phân bón tự doanh (211 nghìn tấn)
"
DDG,HNX,Tiện ích khí đốt,"Các mảng kinh doanh chính
 Hoạt động thương mại: buôn bán nhiên liệu sinh khối, phế phẩm (chủ yếu là mùn cưa) 
Hoạt động cung cấp hơi nhiệt: khách hàng cho công ty thuê đất để xây dựng nhà xưởng và hệ thống lò cung cấp hơi nhiệt trên đó để phục vụ hoạt động sản xuất trực tiếp của khách hàng tại chính địa điểm nhà máy của khách hàng. Thời hạn sử dụng từ 5–15 năm. 
Cơ cấu doanh thu (2022) Bán hàng hóa (71%), Cung cấp dịch vụ (29%).
","Nguyên liệu 
Những phế phẩm nông nghiệp lâm như mùn cưa, bột gỗ, dăm bào, tro trấu, bã mía, rơm rạ... và những sản phẩm làm từ chúng như viên nén mùn cưa, viên nén gỗ, viên nén tro trấu,... 
Cơ cấu giá vốn (2022) Nguyên liệu 43.4%, Nhân công 10.9%, Khấu hao 34.6%, Mua ngoài 9.3%, Khác 1.6%
","Số lao động (31/12/2022) 138 người (+35% yoy).
 DDG có 9 nhà máy tập trung ở các tỉnh Miền Nam (HCM, Long An, Tiền Giang, Bình Dương, Vũng Tàu ...)
","Thị trường tiêu thụ 
Chủ yếu tập trung các tỉnh Đông Nam Bộ như Long An, Bình Dương, Tây Ninh, Hồ Chí Minh, Cần Thơ, Vũng Tàu... Định hướng công ty là sẽ xuất khẩu các loại nhiên liệu sinh khối (dạng nén) cho cả thị trường Hàn Quốc, Nhật Bản, EU... trong những năm tới.
 Hoạt động cung cấp hơi
 Gia nhiệt cho không khí để sấy, rửa thiết bị, cung cấp nhiệt cho nhà máy dệt, hóa chất, rượu bia, nước giải khát.
 Hoạt động cung cấp hơi
 Cung cấp nhiệt cho các hệ thống sấy lúa, cao su, mùn cưa, bã sắn, nung gốm sứ, hóa dầu.....
","Kế hoạch kinh doanh 2023 và giai đoạn tới 
Kế hoạch 2023 DDG doanh thu 1.080 tỷ đồng, Lợi nhuận sau thuế 56 tỷ
"
DDV,UPCOM,Hóa chất,"Phân bón(99%), Khác (1%)","Nguyên vật liệu chính (2022) 
Tổng nguyên vật liệu sử dụng là 565 nghìn tấn
 • Quặng apatit: từ nguồn sản xuất trong nước 
• Lưu huỳnh: trong nước và nhập khẩu 
• Amoniac: trong nước và nhập khẩu 
• Than cám 5: trong nước
","Năng lực sản xuất 
Nhà máy sản xuất phân DAP: 330 nghìn tấn DAP/năm 
Sản lượng sản xuất phân DAP (2022) 
nghìn tấn
",Sản lượng tiêu thụ DAP (2022) : 176 nghìn tấn (-29% YoY),"Kế hoạch 2023 
Sản lượng DAP sản xuất: 210 nghìn tấn 
Sản lượng DAP tiêu thụ: 220 nghìn tấn
"
DP3,HNX,Dược phẩm,Doanh Thu OTC chiếm trọng số ,"Nguồn nguyên liệu 
Dược liệu (nguồn gốc thảo dược), Dược liệu (API), Tá dược được chủ yếu mua ở ngoài
","Nhà máy sản xuất
 NM Nam Sơn: gồm nhà máy sản xuất thuốc Tân dược và thuốc Từ dược liệu, đạt tiêu chuẩn GMP-WHO NM Dược phẩm Trung Ương 3-Tràng Duệ: Giai đoạn 1 của NM bao gồm 3 dây chuyền sản xuất: dây chuyền sản xuất thuốc nhỏ mắt, nhỏ mũi, dây chuyền Thực phẩm bảo vệ sức khỏe và dây chuyền Hóa mỹ phẩm, đạt tiêu chuẩn GMP-WHO
","Sản phẩm chính 
Hoạt động chủ yếu trong lĩnh vực sản xuất thuốc bào chế từ các nguyên liệu tự nhiên, đặc biệt là thuốc Đông dược với gần 100 sản phẩm ở các vị trí trong và ngoài nước: Cao Sao Vàng, Hoàn Bổ Thận Âm, Sâm Nhung,... 
Thị trường tiêu thụ
 Công ty có 03 chi nhánh và trên 10 nhà phân phối độc quyền.
 • Kênh phân phối sản phẩm của công ty chủ yếu thông qua kênh OTC chiếm đến 95%
","Kế hoạch kinh doanh 2023 và giai đoạn tới
 Trả cổ tức bằng cổ phiếu với tỷ lệ 150-100.
"
DPG,HOSE,Tập đoàn công nghiệp,"Cơ cấu doanh thu (2022) 
Hợp đồng xây dựng (61%), Điện thương phẩm (19,79%), Bất động sản (18,15%), Bán hàng hóa, vật tư (0,32%), Cung cấp dịch vụ (10,9%), Nhà hàng (0,08%) 
Cơ cấu lợi nhuận gộp (2022)
 Hợp đồng xây dựng (11,8%), Điện thương phẩm (53,23%), Bất động sản (33,9%), Bán hàng hóa, vật tư (0,08%)
","Đầu vào
 Mảng thủy điện phụ thuộc lớn vào thủy văn ở các đập thủy điện Sơn Trà
 Mảng Xây Dựng phụ thuộc vào giá VLXD: thép, cát, đá ...
","Số lao động (31/12/2022) 187 người (-54% yoy) 
Mảng thủy điện 
Công suất Nhà máy điện sông Bung 6: 29MW
 Công suất Thủy điện Sơn Trà 1A và Sơn Trà 1B: 60MV 
Công suất Thủy điện Sơn Trà 1C: 9MW, hoạt động năm 2020
","Địa bàn kinh doanh 
Trải dài khắp cả nước, Tiêu biểu một số tỉnh sau: Hồ Chí Minh, Hải Phòng, Thanh Hóa, Trà Vinh,... 
Lĩnh vực kinh doanh 
Hoạt động xây dựng: Một số dự án tiêu biểu như Cao tốc Bắc Nam, Cầu Thủ Thiêm 2, Cầu Mỹ Thuận 2,...Trong 2 tháng đầu năm 2022, giá trị ký mới của DPG đạt 500 tỷ đồng trong đó có công trình lớn là Nạo vét Sông Cổ Cò
 Phần Cầu (giá trị đạt 273,7 tỷ đồng).
 Hoạt động kinh doanh điện thương phẩm: 100% điện thương phẩm do EVN thu mua.
 • Gồm 3 dự án thủy điện (1) Thủy điện Sông Bung 6 (DPG sở hữu 61.32% vốn, do CTCP Sông Bung thực hiện); (2) Thủy điện Sơn Trà 1A, 1B và 1C với công suất 69 MV (sở hữu 67.5% vốn điều lệ, do CTCP 30-4 Quảng Ngãi thực hiện). Và giá bán điện do EVN quy định 
 Hoạt động kinh doanh và phát triển dự án Bất động sản du lịch, nghỉ dưỡng: 
DPG đã hoàn thành 2 dự án, Casamia Hội An và Casamia Calm Hội An, đồng thời gần như hoàn thành việc bàn giao cho người mua. Chỉ có một dự án Cần Tiên (Casamia Balanca) hiện đang được triển khai, tuy nhiên thông tin bán hàng từ dự án này khá hạn chế và không được công ty công bố rộng rãi.
","Kế hoạch kinh doanh 2023 và giai đoạn tới 
Mảng xây dựng: Đẩy mạnh hoạt động phát triển, mở rộng thị trường, ưu tiên kiểm soát dòng tiền. 
Mảng bất động sản: Không phát triển thêm, chỉ tập trung hoàn thiện cơ sản hạ tầng và pháp lý các dự án hiện hữu.
 Mảng khách sạn: Đẩy mạnh công tác đầu tư xây dựng thương hiệu chuỗi khách sạn mang phong cách Eco Lifestyle theo tiêu chuẩn quốc tế. Dự kiến khách sạn đầu tiên sẽ được Đạt Phương đưa vào vận hành vào quý 4 năm 2024.
"
DPM,HOSE,Hóa chất,"Cơ cấu doanh thu (2022) 
Phân bón (88%), Hóa chất (9,6%), Khác (0,4%) 
Doanh thu theo thị trường (2022) 
Xuất khẩu (17,6%); Nội địa (82,4%)
","Khí 
Chủ yếu được lấy từ Bể Cử Long và Bể Nam Côn Sơn 
Giá bán khí Tại Bể Nam Côn Sơn (143): P=46%MFO + Trest + Do 
Tại Bể Cửu Long (86%): P=46%MFO + Tcl (USD/Triệu BTU) (neo theo giá dầu FO)
 Chú thích: • P: Giá khí hợp đồng, chưa bao gồm VAT (VND/MMBTU, quy đổi USD theo tỷ giá bán ra của Vietcombank) • 46% MFO: Giá khí quy đổi theo giá dầu FO trung bình tháng tại thị trường Singapore (USD/MMBTU) « TCL: Cước phí vận chuyển và phân phối khí Bể Cửu Long (USD/MMBTU). Đối với mỏ Bạch Hổ, Rồng Đồi Mồi (65%) với TCI=1.02, Nguồn khí khác (21%) với TCI=3.22 • TNCS1: Cuốc phí vận chuyển khí Bể Nam Côn Sơn (USD/MMBTU) với TNCS 1= 1.288 * DP: Cước phí phân phối khí tại trạm phân phối khí Phú Mỹ với Dp=0.15
Thương mại DAP, Kali, NPK: Nhập khẩu từ châu Âu và phân phối theo bao bì và thương hiệu của mình DPM tăng dần tỷ trọng cung cấp khí ở các mỏ khác của Bề Cửu Long và Bể Nam Côn Sơn khiến cho cước phí cố định tăng giá
","Năng lực sản xuất
 NM Đạm Phú Mỹ: 800 nghìn tấn urea/năm (sử dụng công nghệ tổng hợp và tạo hạt Italia 
NM NH3: 540 nghìn tấn amoniac/năm (công nghệ Đan Mạch) 
NM NPK công nghệ hóa học hiện đại: 250 nghìn tấn/năm (hướng đến sản phẩm ở phân khúc cao cấp và chất lượng cạnh tranh với sản phẩm NPK nhập khẩu) 
Hệ thống phân phối 
04 công ty phân phối tại các vùng miền. 
102 kho trung chuyển sức chứa 253 nghìn tấn
","Sản lượng tiêu thụ (2022)
 Urea khoảng 791 nghìn tấn, NPK Phú Mỹ khoảng 129 nghìn tấn. 
Thị phần (2022) 
Urea chiếm 46%, NPK chất lượng cao chiếm 19% thị trường phân bón Việt Nam. 
Giá bán Urea 
Giá FOB 4 thị trường lớn + r + C 
• r là hệ số điều tiết nội địa 
• C là chi phí nội địa
 Hiện nay, giá bán urea của doanh nghiệp trong nước chỉ gần tương đương giá FOB bình quân các thị trường quốc tế 
Khách hàng
 83 đại lý cấp 1 và 2.280 đại lý cấp 2
","Kế hoạch kinh doanh năm 2023 và giai đoạn tới 
Phân phối lợi nhuận năm 2022 dự kiến là 70% cổ tức bằng tiền. 
Dự án lớn trong giai đoạn tới 
Nâng công suất nhà máy NPK 
• Giai đoạn 2021-2025, nâng cấp lên 500 nghìn tấn NPK/năm
 • Giai đoạn 2025-2030, nâng cấp lên 750 nghìn tấn/năm (chỉ thực hiện khi cân đối nguồn nguyên liệu NH3) từ nguồn NH3 bằng công nghệ hóa học được vận hành, khai thác có hiệu quả 
Nâng công suất phân xưởng NH3 
• Nâng thêm 90 nghìn tấn/năm (tăng khoảng 20% công suất hiện tại)
 Mở rộng sang mảng hóa chất
 • Dự án Polystyrene 400 nghìn tấn/năm (170 triệu USD) Dự án Polypropylene 300 nghìn tấn/năm (717 triệu USD
"
